FL_DATE,FLIGHT_CANCELLATION_AND_DELAY_COMBINED_RATE,DATE,STATION,NAME,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT10,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
2/5/2011 12:00:00 AM,25.7985257985258,2011-02-05,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9.84,2105.0,0.23,0.0,6.0,,43.0,22.0,38.0,46.1,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,
2/6/2011 12:00:00 AM,13.373253493013973,2011-02-06,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14.09,3.0,0.0,0.0,5.0,,45.0,32.0,31.1,38.9,,,,,,,,,,,,,,,,,,,
2/7/2011 12:00:00 AM,15.64245810055866,2011-02-07,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5.82,1507.0,0.1,0.0,4.0,,40.0,29.0,13.0,25.9,1.0,,,,,,,,,,1.0,,,1.0,,,,,
2/8/2011 12:00:00 AM,21.705426356589147,2011-02-08,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19.46,2054.0,0.13,0.0,2.0,,40.0,19.0,36.0,46.1,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,
2/9/2011 12:00:00 AM,9.78886756238004,2011-02-09,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15.21,127.0,0.0,0.0,1.0,,29.0,16.0,25.1,33.1,,,,,,,,,,,,,,,,,,,
2/10/2011 12:00:00 AM,10.869565217391305,2011-02-10,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13.42,13.0,0.0,0.0,1.0,,29.0,23.0,21.0,30.0,,,,,,,,,,,,,,,,,,,
2/11/2011 12:00:00 AM,8.64864864864865,2011-02-11,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11.41,1448.0,0.0,0.0,1.0,,36.0,20.0,19.9,23.9,,,,,,,,,,,,,,,,,,,
2/12/2011 12:00:00 AM,8.78048780487805,2011-02-12,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13.65,1609.0,0.0,0.0,0.0,,41.0,24.0,29.1,38.0,,,,,,,,,,,,,,,,1.0,,,
2/13/2011 12:00:00 AM,15.643564356435643,2011-02-13,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14.54,1448.0,0.0,0.0,0.0,,42.0,24.0,25.9,31.1,,,,,,,,,,,,,,,,,,,
2/14/2011 12:00:00 AM,24.719101123595507,2011-02-14,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19.46,1454.0,0.0,0.0,0.0,,59.0,36.0,40.9,53.0,,,,,,,,,,,,,,1.0,,,,,
2/15/2011 12:00:00 AM,23.371647509578544,2011-02-15,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19.01,352.0,0.0,0.0,0.0,,38.0,27.0,38.0,47.0,,,,,,,,,,,,,,,,,,,
2/16/2011 12:00:00 AM,12.287334593572778,2011-02-16,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",7.16,2025.0,0.0,0.0,0.0,,43.0,23.0,16.1,25.1,,,,,,,,,,,,,,,,,,,
2/17/2011 12:00:00 AM,18.101933216168717,2011-02-17,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6.26,1251.0,0.0,0.0,0.0,,55.0,40.0,12.1,17.0,,,,,,,,,,,,,,,,,,,
2/18/2011 12:00:00 AM,19.473684210526315,2011-02-18,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11.63,2332.0,0.1,0.0,0.0,,67.0,40.0,38.0,48.1,1.0,,1.0,,,,,,,,,,,1.0,,,,,
2/19/2011 12:00:00 AM,28.571428571428573,2011-02-19,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",29.53,1213.0,0.0,0.0,0.0,,54.0,23.0,48.1,59.9,,,,,,,,,,,,,,,,1.0,,,
2/20/2011 12:00:00 AM,25.553319919517104,2011-02-20,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17.45,106.0,0.0,0.0,0.0,,42.0,22.0,38.9,48.1,,,,,,,,,,,,,,,,,,,
2/21/2011 12:00:00 AM,48.2695810564663,2011-02-21,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12.53,2246.0,0.19,2.3,2.0,,38.0,25.0,23.0,25.9,1.0,,,,,,,,,,1.0,,,,,1.0,,,
2/22/2011 12:00:00 AM,17.97153024911032,2011-02-22,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15.43,50.0,0.0,0.0,2.0,,34.0,17.0,23.0,31.1,,,,,,,,,,,,,,,,,,,
2/23/2011 12:00:00 AM,9.929078014184396,2011-02-23,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8.72,144.0,0.0,0.0,1.0,,43.0,22.0,19.9,23.0,,,,,,,,,,,,,,,,,,,
2/24/2011 12:00:00 AM,17.57469244288225,2011-02-24,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8.5,1610.0,0.06,0.0,0.0,,41.0,23.0,21.9,28.0,,,,,,,,,,,,,,1.0,,,,,
2/25/2011 12:00:00 AM,51.05263157894737,2011-02-25,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20.8,1053.0,1.26,0.0,0.0,,54.0,33.0,40.9,51.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,
2/26/2011 12:00:00 AM,17.817371937639198,2011-02-26,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11.41,34.0,0.0,0.0,0.0,,42.0,32.0,23.0,28.0,,,,,,,,,,,,,,,,,,,
2/27/2011 12:00:00 AM,13.32046332046332,2011-02-27,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10.07,955.0,0.0,0.0,0.0,,53.0,39.0,23.0,30.0,,,,,,,,,,,,,,,,,,,
2/28/2011 12:00:00 AM,47.10017574692443,2011-02-28,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17.22,844.0,0.37,0.0,0.0,,60.0,40.0,29.1,36.0,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,
3/1/2011 12:00:00 AM,10.01788908765653,2011-03-01,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14.76,258.0,0.0,0.0,0.0,,49.0,33.0,28.0,36.0,,,,,,,,,,,,,,,,,,,
3/2/2011 12:00:00 AM,23.29749103942652,2011-03-02,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20.36,2129.0,0.0,0.0,0.0,,56.0,26.0,36.0,44.1,,,,,,,,,,,,,,,,,,,
3/3/2011 12:00:00 AM,13.8353765323993,2011-03-03,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10.51,7.0,0.0,0.0,0.0,,33.0,20.0,29.1,34.9,,,,,,,,,,,,,,,,,,,
3/4/2011 12:00:00 AM,15.936952714535902,2011-03-04,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11.18,1418.0,0.0,0.0,0.0,,41.0,24.0,17.9,25.1,,,,,,,,,,,,,,,,,,,
3/5/2011 12:00:00 AM,13.004484304932737,2011-03-05,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13.2,1313.0,0.0,0.0,0.0,,53.0,41.0,25.1,31.1,,,,,,,,,,,,,,1.0,,,,,
3/6/2011 12:00:00 AM,45.525291828793776,2011-03-06,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17.0,2057.0,1.32,0.0,0.0,,51.0,45.0,34.9,49.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,
3/7/2011 12:00:00 AM,18.838028169014084,2011-03-07,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19.46,34.0,0.07,0.0,0.0,,51.0,34.0,31.1,38.9,1.0,,,,,,,,,,1.0,,,1.0,,,,,
3/8/2011 12:00:00 AM,5.39568345323741,2011-03-08,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8.5,901.0,0.0,0.0,0.0,,48.0,29.0,17.0,19.9,,,,,,,,,,,,,,,,,,,
