"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-22","11.86","0.20","0.0","0.0","71","81","59","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-23","11.41","0.00","0.0","0.0","65","76","56",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-24","8.28","0.00","0.0","0.0","67","75","57",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-25","10.51","0.00","0.0","0.0","68","75","63",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-26","14.32","0.00","0.0","0.0","72","80","67","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-27","14.54","0.00","0.0","0.0","75","82","69",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-28","12.53","0.00","0.0","0.0","77","87","70",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-29","11.63","0.00","0.0","0.0","80","90","72",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-06-30","12.08","0.00","0.0","0.0","81","91","73",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-01","6.93","0.54","0.0","0.0","77","88","71","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-02","9.62","0.38","0.0","0.0","73","77","64","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-03","9.40","1.10","0.0","0.0","64","67","60","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-04","6.26","0.00","0.0","0.0","67","77","59","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-05","9.62","0.00","0.0","0.0","73","81","65","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-06","13.42","0.39","0.0","0.0","78","87","71","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-07","9.40","0.00","0.0","0.0","78","89","71",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-08","7.61","0.32","0.0","0.0","77","81","73","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-09","13.42","0.99","0.0","0.0","76","86","71","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-10","7.38","0.00","0.0","0.0","75","80","71",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-11","9.17","0.00","0.0","0.0","73","79","70","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-12","8.28","0.06","0.0","0.0","77","86","71","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-13","8.50","0.00","0.0","0.0","72","77","68","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-14","5.82","0.01","0.0","0.0","75","86","70","    1",,"    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-15","8.28","0.00","0.0","0.0","79","87","72",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-16","9.40","0.00","0.0","0.0","81","89","74",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-17","8.95","0.28","0.0","0.0","81","87","72","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-18","13.42","0.02","0.0","0.0","78","85","73","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2021-07-19","8.28","0.00","0.0","0.0","76","82","70","    1",,,,,,"    1",
